key	lemma	part_of_speech	parsing	definition	strongs	alternates
אֱלָהֲהוֹן	אֱלָהּ	noun	masculine singular construct, pronominal suffix 3rd person masculine plural	God	H426	
אֱלָהֲכֹם	אֱלָהּ	noun	masculine singular construct, pronominal suffix 2nd person masculine plural	God	H426	
אֱלָהֲכוֹן	אֱלָהּ	noun	masculine singular construct, pronominal suffix 2nd person masculine plural	God	H426	
אֱלָהִי	אֱלָהּ	noun	masculine singular construct, pronominal suffix 1st person common singular	God	H426	
אֱלָהִין	אֱלָהּ	noun	masculine plural absolute	God	H426	
אֱלָהֵהּ	אֱלָהּ	noun	masculine singular construct, pronominal suffix 3rd person masculine singular	God	H426	
אֱלָהַיָּא	אֱלָהּ	noun	masculine plural determined, definite article	God	H426	
אֱלָהַנָא	אֱלָהּ	noun	masculine singular construct, pronominal suffix 1st person common plural	God	H426	
אֱלָהָא	אֱלָהּ	noun	masculine singular determined, definite article	God	H426	
אֱלָהָךְ	אֱלָהּ	noun	masculine singular construct, pronominal suffix 2nd person masculine singular	God	H426	
אֱלָהּ	אֱלָהּ	noun	masculine singular construct	God	H426	אֱלָהּ|noun|masculine singular absolute
אֱלֹהִים	אֱלֹהִים	noun	masculine plural absolute	gods in the ordinary sense	H430	
אֱלֹהֵי	אֱלֹהִים	noun	masculine plural construct	gods in the ordinary sense	H430	
אֱלֹהֵיהֶם	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	gods in the ordinary sense	H430	
אֱלֹהֵיהֶן	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 3rd person feminine plural	gods in the ordinary sense	H430	
אֱלֹהֵיכֶם	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 2nd person masculine plural	gods in the ordinary sense	H430	
אֱלֹהֵימוֹ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	gods in the ordinary sense	H430	
אֱלֹהֵינוּ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 1st person common plural	gods in the ordinary sense	H430	
אֱלֹהֶיהָ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 3rd person feminine singular	gods in the ordinary sense	H430	
אֱלֹהֶיךָ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 2nd person masculine singular	gods in the ordinary sense	H430	
אֱלֹהַ	אֱלוֹהַּ	noun	masculine singular absolute	a deity or the Deity	H433	
אֱלֹהַי	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 1st person common singular	gods in the ordinary sense	H430	
אֱלֹהַיִךְ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 2nd person feminine singular	gods in the ordinary sense	H430	
אֱלֹהָי	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 1st person common singular	gods in the ordinary sense	H430	
אֱלֹהָיִךְ	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 2nd person feminine singular	gods in the ordinary sense	H430	
אֱלֹהָיו	אֱלֹהִים	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	gods in the ordinary sense	H430	
אֱלוֹהֵי	אֱלוֹהַּ	noun	masculine plural construct	a deity or the Deity	H433	
אֱלוֹהַ	אֱלוֹהַּ	noun	masculine singular absolute	a deity or the Deity	H433	
אֱלוֹהַּ	אֱלוֹהַּ	noun	masculine singular absolute	a deity or the Deity	H433	אֱלוֹהַּ|noun|masculine singular construct
אֱלוֹהַי	אֱלוֹהַּ	noun	masculine plural construct, pronominal suffix 1st person common singular	a deity or the Deity	H433	
אֱלוֹהָי	אֱלוֹהַּ	noun	masculine plural construct, pronominal suffix 1st person common singular	a deity or the Deity	H433	
אֱמֶת	אֶמֶת	noun	feminine singular absolute	stability; (figuratively) certainty, truth, trustworthiness	H571	
אֱמַר	אֲמַר	verb	qal imperative 2nd person masculine singular	{to say (used with great latitude)}	H560	
אֱמַרוּ	אֲמַר	verb	qal imperative 2nd person masculine plural	{to say (used with great latitude)}	H560	
אֱמָר	אָמַר	verb	qal imperative 2nd person masculine singular	to say (used with great latitude)	H559	
אֱמֹר	אָמַר	verb	qal imperative 2nd person masculine singular	to say (used with great latitude)	H559	
אֱמֹרִי	אֱמֹרִי	noun	masculine singular absolute	an Emorite, one of the Canaanitish tribes	H567	
אֱמֻנִים	אֵמוּן	noun	masculine plural absolute	established, i.e. (figuratively) trusty; also (abstractly) trustworthiness	H529	
אֱמֻנָתוֹ	אֱמוּנָה	noun	feminine singular construct, pronominal suffix 3rd person masculine singular	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנִים	אֵמוּן	noun	masculine plural absolute	established, i.e. (figuratively) trusty; also (abstractly) trustworthiness	H529	אָמַן|adjective|adjective masculine plural absolute
אֱמוּנֵי	אָמַן	adjective	adjective masculine plural construct	properly	H539	
אֱמוּנַת	אֱמוּנָה	noun	feminine singular construct	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנָה	אֱמוּנָה	noun	feminine singular absolute	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנָתְךָ	אֱמוּנָה	noun	feminine singular construct, pronominal suffix 2nd person masculine singular	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנָתֶךָ	אֱמוּנָה	noun	feminine singular construct, pronominal suffix 2nd person masculine singular	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנָתוֹ	אֱמוּנָה	noun	feminine singular construct, pronominal suffix 3rd person masculine singular	literally firmness; figuratively security; morally fidelity	H530	
אֱמוּנוֹת	אֱמוּנָה	noun	feminine plural absolute	literally firmness; figuratively security; morally fidelity	H530	
אֱנָשׁ	אֱנָשׁ	noun	masculine singular absolute	a man	H606	אֱנָשׁ|noun|masculine singular construct
אֱנוֹשׁ	אֱנוֹשׁ	noun	masculine singular absolute	a man in general (singly or collectively)	H582	אֱנוֹשׁ|proper noun|not parsed;אֱנוֹשׁ|noun|masculine singular construct
אֱסָר	אֱסָר	noun	masculine singular absolute	an interdict	H633	אֱסָר|noun|masculine singular construct
אֱסָרֶיהָ	אֱסָר	noun	masculine plural construct, pronominal suffix 3rd person feminine singular	an obligation or vow (of abstinence)	H632	
אֱסָרָא	אֱסָר	noun	masculine singular determined, definite article	an interdict	H633	
אֱסֹף	אָסַף	verb	qal imperative 2nd person masculine singular	to gather for any purpose	H622	
אֱסֹר	אָסַר	verb	qal imperative 2nd person masculine singular	to yoke or hitch; by analogy, to fasten in any sense, to join battle	H631	
אֱסוּרָיו	אֵסוּר	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	a bond (especially manacles of a prisoner)	H612	
אֱצֹּר	נָצַר	verb	qal imperfect 1st person common singular	to guard, in a good sense (to protect, maintain, obey, etc.) or a bad one (to conceal, etc.)	H5341	
אֱרָב	אָרַב	verb	qal infinitive construct	to lurk	H693	
אֲאַזֶּרְךָ	אָזַר	verb	piel imperfect 1st person common singular, pronominal suffix 2nd person masculine singular	to belt	H247	
אֲאַמִּצְכֶם	אָמַץ	verb	piel imperfect 1st person common singular, pronominal suffix 2nd person masculine plural	to be alert, physically (on foot) or mentally (in courage)	H553	
אֲבִגָיִל	אֲבִיגַיִל	proper noun	not parsed	Abigail or Abigal, the name of two Israelitesses	H26	
אֲבִי	אָב	noun	masculine singular construct	father, in a literal and immediate, or figurative and remote application	H1	אֲבִי הָעֶזְרִי|noun|masculine singular absolute;אֲבִי|proper noun|not parsed;אֲבִי הָעֶזְרִי|proper noun|not parsed
אֲבִיָּה	אֲבִיָּה	proper noun	not parsed	Abijah, the name of several Israelite men and two Israelitesses	H29	
אֲבִיָּהוּ	אֲבִיָּה	proper noun	not parsed	Abijah, the name of several Israelite men and two Israelitesses	H29	
אֲבִיָּם	אֲבִיָּם	proper noun	not parsed	Abijam (or Abijah), a king of Judah	H38	
אֲבִיאֲךָ	בּוֹא	verb	hiphil imperfect 1st person common singular, pronominal suffix 2nd person masculine singular	to go or come (in a wide variety of applications)	H935	
אֲבִיאֵל	אֲבִיאֵל	proper noun	not parsed	Abiel, the name of two Israelites	H22	
אֲבִיאֵם	בּוֹא	verb	hiphil imperfect 1st person common singular, pronominal suffix 3rd person masculine plural	to go or come (in a wide variety of applications)	H935	
אֲבִיאֶנָּה	בּוֹא	verb	hiphil imperfect 1st person common singular, pronominal suffix 3rd person feminine singular	to go or come (in a wide variety of applications)	H935	
אֲבִיאֶנּוּ	בּוֹא	verb	hiphil imperfect 1st person common singular, pronominal suffix 3rd person masculine singular	to go or come (in a wide variety of applications)	H935	
אֲבִיגַיִל	אֲבִיגַיִל	proper noun	not parsed	Abigail or Abigal, the name of two Israelitesses	H26	
אֲבִיגַל	אֲבִיגַיִל	proper noun	not parsed	Abigail or Abigal, the name of two Israelitesses	H26	
אֲבִידָן	אֲבִידָן	proper noun	not parsed	Abidan, an Israelite	H27	
אֲבִיהֶם	אָב	noun	masculine singular construct, pronominal suffix 3rd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבִיהֶן	אָב	noun	masculine singular construct, pronominal suffix 3rd person feminine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבִיהַיִל	אֲבִיהַיִל	proper noun	not parsed	Abihail or Abichail, the name of three Israelites and two Israelitesses	H32	
אֲבִיהָיִל	אֲבִיהַיִל	proper noun	not parsed	Abihail or Abichail, the name of three Israelites and two Israelitesses	H32	
אֲבִיהוּא	אֲבִיהוּא	proper noun	not parsed	Abihu, a son of Aaron	H30	
אֲבִיחַיִל	אֲבִיהַיִל	proper noun	not parsed	Abihail or Abichail, the name of three Israelites and two Israelitesses	H32	
אֲבִיחָיִל	אֲבִיהַיִל	proper noun	not parsed	Abihail or Abichail, the name of three Israelites and two Israelitesses	H32	
אֲבִיטָל	אֲבִיטָל	proper noun	not parsed	Abital, a wife of King David	H37	
אֲבִיטוּב	אֲבִיטוּב	proper noun	not parsed	Abitub, an Israelite	H36	
אֲבִיכֶם	אָב	noun	masculine singular construct, pronominal suffix 2nd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבִיכֶן	אָב	noun	masculine singular construct, pronominal suffix 2nd person feminine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבִימֶּלֶךְ	אֲבִימֶלֶךְ	proper noun	not parsed	Abimelek, the name of two Philistine kings and of two Israelites	H40	
אֲבִימֶלֶךְ	אֲבִימֶלֶךְ	proper noun	not parsed	Abimelek, the name of two Philistine kings and of two Israelites	H40	
אֲבִימָאֵל	אֲבִימָאֵל	proper noun	not parsed	Abimael, a son of Joktan	H39	
אֲבִינֵר	אַבְנֵר	proper noun	not parsed	Abner, an Israelite	H74	
אֲבִינָדָב	אֲבִינָדָב	proper noun	not parsed	Abinadab, the name of four Israelites	H41	בֶּן־אֲבִינָדָב|proper noun|not parsed
אֲבִינֹעַם	אֲבִינֹעַם	proper noun	not parsed	Abinoam, an Israelite	H42	
אֲבִיעֶזֶר	אֲבִיעֶזֶר	proper noun	not parsed	Abiezer, the name of two Israelites	H44	
אֲבִיר	אָבִיר	adjective	adjective masculine singular construct	mighty (spoken of God)	H46	
אֲבִירָם	אֲבִירָם	proper noun	not parsed	Abiram, the name of two Israelites	H48	
אֲבִישַׁג	אֲבִישַׁג	proper noun	not parsed	Abishag, a concubine of David	H49	
אֲבִישַׁי	אֲבִישַׁי	proper noun	not parsed	Abishai, an Israelite	H52	
אֲבִישָׁלוֹם	אֲבִישָׁלוֹם	proper noun	not parsed	Abshalom, a son of David; also (the fuller form) a later Israelite	H53	
אֲבִישׁוּעַ	אֲבִישׁוּעַ	proper noun	not parsed	Abishua, the name of two Israelites	H50	
אֲבִישׁוּר	אֲבִישׁוּר	proper noun	not parsed	Abishur, an Israelite	H51	
אֲבִיתֶם	אָבָה	verb	qal perfect 2nd person masculine plural	to breathe after, i.e. (figuratively) to be acquiescent	H14	
אֲבֵדַת	אֲבֵדָה	noun	feminine singular construct	concrete, something lost; abstract, destruction, i.e. Hades	H9	
אֲבֵדָה	אֲבֵדָה	noun	feminine singular absolute	concrete, something lost; abstract, destruction, i.e. Hades	H9	
אֲבֵלִים	אָבֵל	adjective	adjective masculine plural absolute	lamenting	H57	
אֲבֵלוֹת	אָבֵל	adjective	adjective feminine plural absolute	lamenting	H57	
אֲבַדּוֹן	אֲבַדּוֹן	proper noun	not parsed	abstract, a perishing; concrete, Hades	H11	
אֲבַלֵּעַ	בָּלַע	verb	piel imperfect 1st person common singular	to make away with (specifically by swallowing); generally, to destroy	H1104	
אֲבַלַּע	בָּלַע	verb	piel imperfect 1st person common singular	to make away with (specifically by swallowing); generally, to destroy	H1104	
אֲבַעְבֻּעֹת	אֲבַעְבֻּעָה	noun	feminine plural absolute	an inflammatory pustule (as eruption)	H76	
אֲבַק	אָבָק	noun	masculine singular construct	light particles (as volatile)	H80	
אֲבַקְשֶׁנּוּ	בָּקַשׁ	verb	piel imperfect 1st person common singular, pronominal suffix 3rd person masculine singular	to search out (by any method, specifically in worship or prayer); by implication, to strive after	H1245	
אֲבַקְשָׁה	בָּקַשׁ	verb	piel cohortative 1st person common singular	to search out (by any method, specifically in worship or prayer); by implication, to strive after	H1245	
אֲבַקֵּר	בָּקַר	verb	piel imperfect 1st person common singular	properly, to plough, or (generally) break forth, i.e. (figuratively) to inspect, admire, care for, consider	H1239	
אֲבַקֵּשׁ	בָּקַשׁ	verb	piel imperfect 1st person common singular	to search out (by any method, specifically in worship or prayer); by implication, to strive after	H1245	
אֲבַקֶּשׁ	בָּקַשׁ	verb	piel imperfect 1st person common singular	to search out (by any method, specifically in worship or prayer); by implication, to strive after	H1245	
אֲבָדְךָ	אָבַד	verb	qal infinitive construct, pronominal suffix 2nd person masculine singular	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)	H6	
אֲבָדְכֶם	אָבַד	verb	qal infinitive construct, pronominal suffix 2nd person masculine plural	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)	H6	
אֲבָהֳתַנָא	אַב	noun	masculine plural construct, pronominal suffix 1st person common plural	{father}	H2	
אֲבָהָתִי	אַב	noun	masculine plural construct, pronominal suffix 1st person common singular	{father}	H2	
אֲבָהָתָךְ	אַב	noun	masculine plural construct, pronominal suffix 2nd person masculine singular	{father}	H2	
אֲבָל	אֲבָל	adverb	adverb	nay, i.e. truly or yet	H61	
אֲבָנִים	אֶבֶן	noun	feminine plural absolute	a stone	H68	
אֲבָנֶיהָ	אֶבֶן	noun	feminine plural construct, pronominal suffix 3rd person feminine singular	a stone	H68	
אֲבָנַיִךְ	אֶבֶן	noun	feminine plural construct, pronominal suffix 2nd person feminine singular	a stone	H68	
אֲבָנָיו	אֶבֶן	noun	feminine plural construct, pronominal suffix 3rd person masculine singular	a stone	H68	
אֲבָקָם	אָבָק	noun	masculine singular construct, pronominal suffix 3rd person masculine plural	light particles (as volatile)	H80	
אֲבָרֲכֵם	בָרַךְ	verb	piel imperfect 1st person common singular, pronominal suffix 3rd person masculine plural	to kneel	H1288	
אֲבָרֲכֶךָּ	בָרַךְ	verb	piel cohortative 1st person common singular, pronominal suffix 2nd person masculine singular	to kneel	H1288	
אֲבָרֲכָה	בָרַךְ	verb	piel cohortative 1st person common singular	to kneel	H1288	
אֲבָרֵךְ	בָרַךְ	verb	piel imperfect 1st person common singular	to kneel	H1288	
אֲבָרֶכְךָ	בָרַךְ	verb	piel imperfect 1st person common singular, pronominal suffix 2nd person masculine singular	to kneel	H1288	
אֲבֹד	אָבַד	verb	qal infinitive construct	properly, to wander away, i.e. lose oneself; by implication to perish (causative, destroy)	H6	
אֲבֹתֵיהֶם	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתֵיכֶם	אָב	noun	masculine plural construct, pronominal suffix 2nd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתֵינוּ	אָב	noun	masculine plural construct, pronominal suffix 1st person common plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתֶיךָ	אָב	noun	masculine plural construct, pronominal suffix 2nd person masculine singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתַי	אָב	noun	masculine plural construct, pronominal suffix 1st person common singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתָי	אָב	noun	masculine plural construct, pronominal suffix 1st person common singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתָיו	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבֹתָם	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹי	אֲבוֹי	particle	interjection	want	H17	
אֲבוֹת	אָב	noun	masculine plural construct	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתֵיהֶם	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתֵיכֶם	אָב	noun	masculine plural construct, pronominal suffix 2nd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתֵינוּ	אָב	noun	masculine plural construct, pronominal suffix 1st person common plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתֵכֶם	אָב	noun	masculine plural construct, pronominal suffix 2nd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתֶיךָ	אָב	noun	masculine plural construct, pronominal suffix 2nd person masculine singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתַי	אָב	noun	masculine plural construct, pronominal suffix 1st person common singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתָי	אָב	noun	masculine plural construct, pronominal suffix 1st person common singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתָיו	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוֹתָם	אָב	noun	masculine plural construct, pronominal suffix 3rd person masculine plural	father, in a literal and immediate, or figurative and remote application	H1	
אֲבוּהִי	אַב	noun	masculine singular construct, pronominal suffix 3rd person masculine singular	{father}	H2	
אֲבוּךְ	אַב	noun	masculine singular construct, pronominal suffix 2nd person masculine singular	{father}	H2	
אֲבוּסִים	אָבַס	verb	qal passive participle masculine plural absolute	to fodder	H75	
אֲבוּסֶךָ	אֵבוּס	noun	masculine singular construct, pronominal suffix 2nd person masculine singular	a manger or stall	H18	
אֲבוּסֶנּוּ	בּוּס	verb	qal imperfect 1st person common singular, pronominal suffix 3rd person masculine singular	to trample (literally or figuratively)	H947	
אֲגַג	אֲגַג	proper noun	not parsed	Agag, a title of Amalekitish kings	H90	
אֲגַדֵּעַ	גָּדַע	verb	piel imperfect 1st person common singular	to fell a tree; generally, to destroy anything	H1438	
אֲגַלֶּה	גָּלָה	verb	piel imperfect 1st person common singular	to denude (especially in a disgraceful sense)	H1540	
אֲגַם	אֲגַם	noun	masculine singular construct	a marsh; hence a rush (as growing in swamps); hence a stockade of reeds	H98	
אֲגַפֶּיהָ	אַגָּף	noun	masculine plural construct, pronominal suffix 3rd person feminine singular	(only plural) wings of an army, or crowds of troops	H102	
אֲגַפֶּיךָ	אַגָּף	noun	masculine plural construct, pronominal suffix 2nd person masculine singular	(only plural) wings of an army, or crowds of troops	H102	
אֲגַפָּיו	אַגָּף	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	(only plural) wings of an army, or crowds of troops	H102	
אֲגַרְטְלֵי	אֲגַרְטָל	noun	masculine plural construct	a basin	H105	
אֲגָג	אֲגַג	proper noun	not parsed	Agag, a title of Amalekitish kings	H90	
אֲגָרְשֵׁם	גָּרַשׁ	verb	piel imperfect 1st person common singular, pronominal suffix 3rd person masculine plural	to drive out from a possession; especially to expatriate or divorce	H1644	
אֲגָרְשֶׁנּוּ	גָּרַשׁ	verb	piel imperfect 1st person common singular, pronominal suffix 3rd person masculine singular	to drive out from a possession; especially to expatriate or divorce	H1644	
אֲגָרֵשׁ	גָּרַשׁ	verb	piel imperfect 1st person common singular	to drive out from a possession; especially to expatriate or divorce	H1644	
אֲגֻדַּת	אֲגֻדָּה	noun	feminine singular construct	a band, bundle, knot, or arch	H92	
אֲגֻדּוֹת	אֲגֻדָּה	noun	feminine plural construct	a band, bundle, knot, or arch	H92	
אֲדִקֵּם	דָּקַק	verb	hiphil imperfect 1st person common singular, pronominal suffix 3rd person masculine plural	to crush (or intransitively) crumble	H1854	
אֲדַבְּרָה	דָבַר	verb	piel cohortative 1st person common singular	perhaps properly, to arrange	H1696	דָבַר|verb|piel imperfect 1st person common singular
אֲדַבֵּר	דָבַר	verb	piel imperfect 1st person common singular	perhaps properly, to arrange	H1696	
אֲדַבֵּרָה	דָבַר	verb	piel cohortative 1st person common singular	perhaps properly, to arrange	H1696	
אֲדַבֶּר	דָבַר	verb	piel imperfect 1st person common singular	perhaps properly, to arrange	H1696	
אֲדַד	אֲדַד	proper noun	not parsed	Adad (or Hadad), an Edomite	H111	
אֲדַלְיָא	אֲדַלְיָא	proper noun	not parsed	Adalja, a son of Haman	H118	
אֲדַלֶּג	דָּלַג	verb	piel imperfect 1st person common singular	to spring	H1801	
אֲדַמְדֶּמֶת	אֲדַמְדָּם	adjective	adjective feminine singular absolute	reddish	H125	
אֲדַמְדַּמֹּת	אֲדַמְדָּם	adjective	adjective feminine plural absolute	reddish	H125	
אֲדַמְדָּם	אֲדַמְדָּם	adjective	adjective masculine singular absolute	reddish	H125	
אֲדַמְדָּמֶת	אֲדַמְדָּם	adjective	adjective feminine singular absolute	reddish	H125	
אֲדַמֶּה	דָּמָה	verb	piel imperfect 1st person common singular	to compare; by implication, to resemble, liken, consider	H1819	
אֲדַרְגָּזְרַיָּא	אֲדַרְגָּזֵר	noun	masculine plural determined, definite article	a chief diviner, or astrologer	H148	
אֲדָמָה	אֲדָמָה	noun	feminine singular absolute	soil (from its general redness)	H127	
אֲדָמוֹת	אֲדָמָה	noun	feminine plural absolute	soil (from its general redness)	H127	
אֲדָן	נְבוּזַרְאֲדָן	proper noun	not parsed	Nebuzaradan, a Babylonian general	H5018	
אֲדָנִים	אֶדֶן	noun	masculine plural absolute	a basis (of a building, a column, etc.)	H134	
אֲדָנֶיהָ	אֶדֶן	noun	masculine plural construct, pronominal suffix 3rd person feminine singular	a basis (of a building, a column, etc.)	H134	
אֲדָנָיו	אֶדֶן	noun	masculine plural construct, pronominal suffix 3rd person masculine singular	a basis (of a building, a column, etc.)	H134	
אֲדָר	אֲדָר	proper noun	not parsed	Adar, the 12th Hebrew month	H143	
